0	0
1	7
2	8
3	9
4	10
5	11
6	12
7	13
8	14
9	15
10	16
11	17
12	18
13	19
14	19
15	20
16	21
17	22
18	23
19	24
20	25
21	26
22	27
23	28
24	29
25	30
26	31
27	32
28	33
29	34
30	35
31	36
32	37
33	38
34	39
35	40
36	41
37	42
38	42
39	43
40	44
41	45
42	46
43	47
44	48
45	49
46	50
47	51
48	52
49	53
50	54
51	55
52	56
53	57
54	58
55	59
56	60
57	60
58	61
59	62
60	63
61	64
62	65
63	66
64	67
65	68
66	69
67	70
68	71
69	72
70	73
71	73
72	74
73	75
74	76
75	77
76	78
77	79
78	80
79	81
80	82
81	83
82	84
83	85
84	86
85	87
86	88
87	89
88	90
89	91
90	92
91	93
92	94
93	95
94	96
95	97
96	98
97	99
98	100
99	100
100	101
101	102
102	103
103	104
104	105
105	106
106	107
107	107
108	108
109	109
110	110
111	111
112	112
113	113
114	114
115	115
116	116
117	117
118	118
119	119
120	120
121	121
122	122
123	123
124	124
125	125
126	126
127	127
