0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	22
22	24
23	25
24	26
25	27
26	28
27	29
28	30
29	31
30	32
31	34
32	35
33	36
34	37
35	38
36	39
37	40
38	41
39	42
40	43
41	44
42	45
43	47
44	48
45	49
46	50
47	51
48	52
49	53
50	54
51	55
52	56
53	57
54	59
55	60
56	61
57	62
58	63
59	64
60	65
61	66
62	67
63	68
64	69
65	70
66	71
67	72
68	73
69	74
70	75
71	76
72	77
73	78
74	80
75	81
76	82
77	83
78	84
79	85
80	86
81	87
82	88
83	89
84	90
85	91
86	92
87	93
88	94
89	95
90	97
91	98
92	99
93	100
94	101
95	102
96	103
97	104
98	105
99	106
100	107
101	108
102	109
103	110
104	111
105	112
106	113
107	114
108	115
109	116
110	117
111	118
112	119
113	120
114	121
115	122
116	123
117	124
118	125
119	126
120	127
121	127
122	127
123	127
124	127
125	127
126	127
127	127

